"rain_accum","arc_length","Points:0","Points:1","Points:2"
0.29265,90600,15600,200,0
0.27239,90750,15750,200,0
0.25107,90900,15900,200,0
0.22875,91050,16050,200,0
0.20595,91200,16200,200,0
0.18298,91350,16350,200,0
0.16025,91500,16500,200,0
0.13827,91650,16650,200,0
0.11724,91800,16800,200,0
0.097781,91950,16950,200,0
0.079836,92100,17100,200,0
0.064008,92250,17250,200,0
0.049986,92400,17400,200,0
0.03826,92550,17550,200,0
0.02833,92700,17700,200,0
0.020513,92850,17850,200,0
0.01423,93000,18000,200,0
0.0096208,93150,18150,200,0
0.0061388,93300,18300,200,0
0.0037963,93450,18450,200,0
0.0021599,93600,18600,200,0
0.0011778,93750,18750,200,0
0.00056245,93900,18900,200,0
0.00025093,94050,19050,200,0
8.7299e-05,94200,19200,200,0
2.6499e-05,94350,19350,200,0
4.2928e-06,94500,19500,200,0
4.8091e-07,94650,19650,200,0
1.1008e-09,94800,19800,200,0
0,94950,19950,200,0
0,95100,20100,200,0
0,95250,20250,200,0
0,95400,20400,200,0
0,95550,20550,200,0
0,95700,20700,200,0
0,95850,20850,200,0
0,96000,21000,200,0
0,96150,21150,200,0
0,96300,21300,200,0
0,96450,21450,200,0
0,96600,21600,200,0
0,96750,21750,200,0
0,96900,21900,200,0
0,97050,22050,200,0
0,97200,22200,200,0
0,97350,22350,200,0
0,97500,22500,200,0
0,97650,22650,200,0
0,97800,22800,200,0
0,97950,22950,200,0
0,98100,23100,200,0
0,98250,23250,200,0
0,98400,23400,200,0
0,98550,23550,200,0
0,98700,23700,200,0
0,98850,23850,200,0
0,99000,24000,200,0
0,99150,24150,200,0
0,99300,24300,200,0
0,99450,24450,200,0
0,99600,24600,200,0
0,99750,24750,200,0
0,99900,24900,200,0
0,1.0005e+05,25050,200,0
0,1.002e+05,25200,200,0
0,1.0035e+05,25350,200,0
0,1.005e+05,25500,200,0
0,1.0065e+05,25650,200,0
0,1.008e+05,25800,200,0
0,1.0095e+05,25950,200,0
0,1.011e+05,26100,200,0
0,1.0125e+05,26250,200,0
0,1.014e+05,26400,200,0
0,1.0155e+05,26550,200,0
0,1.017e+05,26700,200,0
0,1.0185e+05,26850,200,0
0,1.02e+05,27000,200,0
0,1.0215e+05,27150,200,0
0,1.023e+05,27300,200,0
0,1.0245e+05,27450,200,0
0,1.026e+05,27600,200,0
0,1.0275e+05,27750,200,0
0,1.029e+05,27900,200,0
0,1.0305e+05,28050,200,0
0,1.032e+05,28200,200,0
0,1.0335e+05,28350,200,0
0,1.035e+05,28500,200,0
0,1.0365e+05,28650,200,0
0,1.038e+05,28800,200,0
0,1.0395e+05,28950,200,0
0,1.041e+05,29100,200,0
